"Segments"
"Segment.id","StartNode.id","EndNode.id","StartNode.pos.x","StartNode.pos.y","StartNode.pos.z","EndNode.pos.x","EndNode.pos.y","EndNode.pos.z","Segment.pr_edge_checked","Segment.dijkstra.indicator","Segment.dijkstra.flipped","Segment.dijkstra.visited","Segment.component","StartNode.label","EndNode.label","StartNode.pr_vertex_checked","EndNode.pr_vertex_checked","StartNode.pr_adjacency_checked","EndNode.pr_adjacency_checked","StartNode.dijkstra.vertex_distance","EndNode.dijkstra.vertex_distance","StartNode.dijkstra.weight_distance","EndNode.dijkstra.weight_distance","StartNode.dijkstra.root","EndNode.dijkstra.root","StartNode.dijkstra.generation","EndNode.dijkstra.generation","StartNode.dijkstra.accepted","EndNode.dijkstra.accepted","StartNode.degree.in","EndNode.degree.in","StartNode.degree.out","EndNode.degree.out","StartNode.degree.total","EndNode.degree.total","StartNode.component","EndNode.component"
37,34,36,40.963692,-8.1989059,-1071.4351,49.284786,-9.6098824,-1072.3839,0,1,0,0,1,35,37,0,0,0,0,7,8,7,8,51,51,8,9,1,1,1,1,2,0,3,1,1,1
38,35,37,23.864695,-7.7466002,-1071.9651,18.503475,-12.342178,-1069.6154,0,1,0,0,1,36,38,0,0,0,0,7,8,7,8,51,51,8,9,1,1,1,1,1,0,2,1,1,1
39,40,101,9.4306955,-39.604343,-1057.9821,10.852536,-41.526394,-1068.9497,0,1,0,0,1,41,102,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,3,0,4,1,1,1
40,109,93,-12.068409,10.187293,-1062.6945,-1.1360111,5.4997001,-1054.4218,0,1,0,0,1,110,94,0,0,0,0,2,3,2,3,51,51,3,4,1,1,1,1,3,0,4,1,1,1
41,40,39,9.4306955,-39.604343,-1057.9821,14.032299,-48.0769,-1061.9574,0,1,0,0,1,41,40,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,3,0,4,1,1,1
42,40,43,9.4306955,-39.604343,-1057.9821,17.241245,-46.573971,-1057.7928,0,1,0,0,1,41,44,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,3,0,4,1,1,1
43,49,40,1.958557,-38.093102,-1048.6503,9.4306955,-39.604343,-1057.9821,0,1,0,0,1,50,41,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,2,3,3,4,1,1
44,41,44,-12.712789,-0.11420837,-1058.254,-6.7265124,2.2660937,-1048.2184,0,1,0,0,1,42,45,0,0,0,0,1,2,1,2,51,51,2,3,1,1,1,1,3,1,4,2,1,1
45,41,46,-12.712789,-0.11420837,-1058.254,-12.911727,-8.7804451,-1043.189,0,1,0,0,1,42,47,0,0,0,0,1,2,1,2,51,51,2,3,1,1,1,1,3,1,4,2,1,1
46,51,41,-24.082926,10.739728,-1046.9969,-12.712789,-0.11420837,-1058.254,0,1,0,0,1,52,42,0,0,0,0,0,1,0,1,51,51,1,2,1,1,0,1,3,3,3,4,1,1
47,51,42,-24.082926,10.739728,-1046.9969,-29.833784,-1.2139434,-1055.3658,0,1,0,0,1,52,43,0,0,0,0,0,1,0,1,51,51,1,2,1,1,0,1,3,1,3,2,1,1
48,44,53,-6.7265124,2.2660937,-1048.2184,3.2651751,-4.0495524,-1045.2795,0,1,0,0,1,45,54,0,0,0,0,2,3,2,3,51,51,3,4,1,1,1,1,1,3,2,4,1,1
49,45,49,-10.422256,-27.854292,-1049.2128,1.958557,-38.093102,-1048.6503,0,1,0,0,1,46,50,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,1,2,2,3,1,1
50,52,45,-0.34847075,-15.88619,-1045.9382,-10.422256,-27.854292,-1049.2128,0,1,0,0,1,53,46,0,0,0,0,3,4,3,4,51,51,4,5,1,1,1,1,2,1,3,2,1,1
51,46,52,-12.911727,-8.7804451,-1043.189,-0.34847075,-15.88619,-1045.9382,0,1,0,0,1,47,53,0,0,0,0,2,3,2,3,51,51,3,4,1,1,1,1,1,2,2,3,1,1
52,50,47,17.871775,12.107132,-1047.1326,38.275784,13.228876,-1049.7245,0,1,0,0,0,51,48,0,0,0,0,4,5,4,5,64,64,5,6,1,1,1,1,1,1,2,2,0,0
53,47,54,38.275784,13.228876,-1049.7245,46.871578,20.108166,-1046.0051,0,1,0,0,0,48,55,0,0,0,0,5,6,5,6,64,64,6,7,1,1,1,1,1,0,2,1,0,0
54,53,48,3.2651751,-4.0495524,-1045.2795,13.682589,-4.4957137,-1048.6278,0,1,0,0,1,54,49,0,0,0,0,3,4,3,4,51,51,4,5,1,1,1,1,3,0,4,1,1,1
55,49,57,1.958557,-38.093102,-1048.6503,-1.1233364,-47.108303,-1038.3719,0,1,0,0,1,50,58,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,2,0,3,1,1,1
56,61,50,2.2454741,13.164606,-1039.7672,17.871775,12.107132,-1047.1326,0,1,0,0,0,62,51,0,0,0,0,3,4,3,4,64,64,4,5,1,1,1,1,2,1,3,2,0,0
57,52,62,-0.34847075,-15.88619,-1045.9382,-1.5401522,-24.749907,-1035.2024,0,1,0,0,1,53,63,0,0,0,0,3,4,3,4,51,51,4,5,1,1,1,1,2,2,3,3,1,1
58,53,59,3.2651751,-4.0495524,-1045.2795,18.814926,-7.8239565,-1040.4929,0,1,0,0,1,54,60,0,0,0,0,3,4,3,4,51,51,4,5,1,1,1,1,3,1,4,2,1,1
59,53,63,3.2651751,-4.0495524,-1045.2795,9.9780464,-9.4426565,-1033.6514,0,1,0,0,1,54,64,0,0,0,0,3,4,3,4,51,51,4,5,1,1,1,1,3,1,4,2,1,1
60,55,58,31.730719,-13.274411,-1043.4056,36.508083,-22.162727,-1041.7728,0,1,0,0,1,56,59,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,3,0,4,1,1,1
61,59,55,18.814926,-7.8239565,-1040.4929,31.730719,-13.274411,-1043.4056,0,1,0,0,1,60,56,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,1,3,2,4,1,1
62,55,60,31.730719,-13.274411,-1043.4056,42.554131,-12.663888,-1041.9399,0,1,0,0,1,56,61,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,3,0,4,1,1,1
63,55,65,31.730719,-13.274411,-1043.4056,38.715748,-17.402218,-1037.3705,0,1,0,0,1,56,66,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,3,1,4,2,1,1
64,64,56,-24.763039,19.817368,-1035.411,-15.62944,15.134153,-1041.7308,0,1,0,0,0,65,57,0,0,0,0,0,1,0,1,64,64,1,2,1,1,0,1,1,1,1,2,0,0
65,113,61,-7.1386566,16.117182,-1031.8832,2.2454741,13.164606,-1039.7672,0,1,0,0,0,114,62,0,0,0,0,2,3,2,3,64,64,3,4,1,1,1,1,4,2,5,3,0,0
66,61,70,2.2454741,13.164606,-1039.7672,17.667738,13.503281,-1033.8063,0,1,0,0,0,62,71,0,0,0,0,3,4,3,4,64,64,4,5,1,1,1,1,2,1,3,2,0,0
67,62,68,-1.5401522,-24.749907,-1035.2024,1.2917663,-38.996368,-1034.1411,0,1,0,0,1,63,69,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,2,2,3,3,1,1
68,62,74,-1.5401522,-24.749907,-1035.2024,11.852911,-33.977276,-1031.0729,0,1,0,0,1,63,75,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,2,1,3,2,1,1
69,63,81,9.9780464,-9.4426565,-1033.6514,20.779119,-21.764601,-1030.1415,0,1,0,0,1,64,82,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,1,3,2,4,1,1
70,65,79,38.715748,-17.402218,-1037.3705,37.964058,-22.244572,-1033.5,0,1,0,0,1,66,80,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,1,0,2,1,1,1
71,66,67,41.111801,4.7552557,-1036.3243,48.188465,4.9246359,-1037.9382,0,1,0,0,0,67,68,0,0,0,0,6,7,6,7,64,64,7,8,1,1,1,1,2,0,3,1,0,0
72,72,66,32.95715,11.222616,-1033.4121,41.111801,4.7552557,-1036.3243,0,1,0,0,0,73,67,0,0,0,0,5,6,5,6,64,64,6,7,1,1,1,1,2,2,3,3,0,0
73,66,78,41.111801,4.7552557,-1036.3243,47.055992,4.0653596,-1034.5844,0,1,0,0,0,67,79,0,0,0,0,6,7,6,7,64,64,7,8,1,1,1,1,2,0,3,1,0,0
74,68,73,1.2917663,-38.996368,-1034.1411,9.2425718,-47.937744,-1034.3555,0,1,0,0,1,69,74,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,2,2,3,3,1,1
75,68,85,1.2917663,-38.996368,-1034.1411,-3.3737237,-39.24456,-1027.3376,0,1,0,0,1,69,86,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,2,0,3,1,1,1
76,72,69,32.95715,11.222616,-1033.4121,38.671654,17.676001,-1036.075,0,1,0,0,0,73,70,0,0,0,0,5,6,5,6,64,64,6,7,1,1,1,1,2,2,3,3,0,0
77,69,77,38.671654,17.676001,-1036.075,42.898602,18.912989,-1035.4133,0,1,0,0,0,70,78,0,0,0,0,6,7,6,7,64,64,7,8,1,1,1,1,2,0,3,1,0,0
78,69,82,38.671654,17.676001,-1036.075,39.251614,18.364166,-1031.6788,0,1,0,0,0,70,83,0,0,0,0,6,7,6,7,64,64,7,8,1,1,1,1,2,0,3,1,0,0
